,rank,category,name,price,product_id,isRocket,discount_percentage,rating,rating_total_count,is_out_of_stock,brand_name,shopping_fee,reviews_for_last1year,사이즈,색상,재질,인테리어
0,1,184613,"코멧 5단 라탄 서랍장, 화이트",29090,2374667819,True,31,4.5,2190.0,False,코멧,0,2208.0,NULL,NULL,NULL,NULL
1,3,184613,"소프시스 철제 5단 서랍, 화이트",69900,3439001,False,0,4.0,4146.0,False,소프시스,0,513.0,280 x 410 x 690 mm,화이트,철제,NULL
2,5,184613,"아임홈리빙 LINE 클래식 5단 서랍장, 네이비",48720,2197274458,True,0,4.5,423.0,False,아임홈리빙,0,425.0,NULL,NULL,NULL,NULL
3,6,184613,"제이디퍼니처 로미 4단 서랍장, 백화이트",28900,24070995,True,0,4.0,3093.0,False,제이디퍼니처,0,1092.0,400 x 370 x 589 mm,화이트,MDF + PB,NULL
4,7,184613,"제이디퍼니처 로미 3단 서랍장, 백화이트",22900,24070993,True,0,4.0,2441.0,False,제이디퍼니처,0,749.0,400 x 370 x 445 mm,화이트,MDF + PB,NULL
5,8,184613,"할메이드 라탄 플라스틱 서랍장 3단 4단 5단 대형 수납정리함, 3단 아이보리",33900,1095936134,False,0,4.5,361.0,False,할메이드,0,345.0,NULL,NULL,NULL,NULL
6,9,184613,"홈앤미 다용도 3단 7문 서랍장, 혼합 색상",62130,1218318510,True,14,4.5,375.0,False,홈앤미,0,355.0,NULL,NULL,NULL,NULL
7,10,184613,"블루밍홈 3단 패브릭 서랍장, 화이트 + 그레이",44400,122785302,True,50,4.0,1024.0,False,블루밍홈,0,374.0,60 x 29.5 x 73.5 cm,베이지,합성목재,NULL
8,13,184613,"까사마루 4단 서랍장, 베이지",24090,1509871,True,49,4.5,2839.0,False,까사마루,0,334.0,440 x 300 x 915 mm,베이지,패브릭,NULL
9,14,184613,"플러스 와이드 4단 5문 서랍장, 혼합 색상",52340,1218318569,True,18,4.5,231.0,False,홈앤미,0,206.0,NULL,NULL,NULL,NULL
10,15,184613,"까사마루 4단 슬림 서랍장, 그레이",23900,47423587,True,33,4.0,1474.0,False,까사마루,0,110.0,22 x 48 x 73 cm,그레이,패브릭,NULL
11,16,184613,"샤바스 어셈블 컬러 스토리 서랍장 400 3단, 화이트",36700,205101306,True,8,4.5,311.0,False,샤바스,0,256.0,NULL,NULL,NULL,NULL
12,17,184613,"아이리스 2단 도어형 책장 수납장 MDB-2D, 화이트",18880,63494354,True,0,4.5,862.0,False,아이리스,0,434.0,366 x 290 x 494 mm,화이트,합성목재,NULL
13,18,184613,"와이드 3단 4문 서랍장, 혼합 색상",49800,1218318664,True,5,4.5,185.0,False,홈앤미,0,166.0,NULL,NULL,NULL,NULL
14,19,184613,"소프시스 6단 철제서랍장, 화이트",49900,1111097,True,0,4.0,3012.0,False,소프시스,0,392.0,280 x 430 x 690 mm,화이트,철제,NULL
15,20,184613,"까사마루 3단 서랍장, 그레이",24610,21492986,True,38,4.0,321.0,False,까사마루,0,73.0,NULL,NULL,NULL,NULL
16,21,184613,"제이디퍼니처 로미 4단 서랍형 협탁, 아카시아화이트",28900,1486596,True,0,4.0,697.0,False,제이디퍼니처,0,122.0,400 x 370 x 589 mm,브라운,합성목재,NULL
17,23,184613,"대도갤러리 클래시 하이그로시 1200 3단 서랍장, 화이트",69800,1305059174,False,33,4.5,81.0,False,대도갤러리,착불배송,82.0,NULL,NULL,NULL,NULL
18,24,184613,"가이온 마린 3단 800 서랍장, 그레이화이트",69800,30525857,False,58,4.5,106.0,False,가이온,착불배송,54.0,800X760X490,그레이,합성목재,NULL
19,25,184613,"제이디퍼니처 로미 5단 서랍형 협탁, 메이플화이트",32990,1486597,True,0,4.0,686.0,False,제이디퍼니처,0,167.0,400 x 370 x 735 mm,브라운,합성목재,NULL
20,28,184613,"한샘 마카롱 철제 5단 서랍장, 크림화이트",41900,1829283488,True,2,4.5,25.0,False,한샘,0,25.0,NULL,NULL,NULL,NULL
21,32,184613,"동서가구 LV 800&1200 서랍장 총 5종, 5.800 5단서랍장 902435-1",94900,4757770685,False,40,5.0,4.0,False,동서가구,착불배송,4.0,NULL,NULL,NULL,NULL
22,33,184613,"할메이드 라탄 플라스틱 서랍장 3단 4단 5단 대형 수납정리함, 3단 그레이",33900,1650951995,False,0,4.5,106.0,False,할메이드,0,107.0,NULL,NULL,NULL,NULL
23,34,184613,"마켓비 OFFICY 4.1단 서랍장, 화이트(7172.5276)",51700,4774796422,False,0,5.0,22.0,False,마켓비,0,22.0,NULL,NULL,NULL,NULL
24,35,184613,"e가구 웨이브 5단 800 서랍장, 아카시아화이트",89900,14450224,False,55,4.0,367.0,False,,착불배송,59.0,800x1225x490,베이지,합성목재,NULL
25,39,184613,"아이리스 3단 플라스틱 투명 서랍장 바퀴부착 CLZ-503, 화이트",22410,186178328,True,9,5.0,33.0,False,아이리스,0,27.0,NULL,NULL,NULL,NULL
26,40,184613,"아이리스 4단 플라스틱 투명 서랍장 바퀴부착 CLZ-504, 화이트",32100,186178338,True,2,4.5,30.0,False,아이리스,0,25.0,NULL,NULL,NULL,NULL
27,41,184613,"동서가구 라임 속 깊은 광폭 800 5단서랍장 DF642272, 화이트",149000,1593649272,False,40,4.0,94.0,False,동서가구,착불배송,93.0,NULL,NULL,NULL,NULL
28,43,184613,"제이디퍼니처 로미 5단 서랍장, 백아카시아",32990,24070996,True,0,3.5,1928.0,False,제이디퍼니처,0,352.0,400 x 370 x 735 mm,베이지,합성목재,NULL
29,46,184613,"데코라인 담다 5단서랍장 /서랍, 오크",119000,67710619,False,0,4.5,480.0,False,데코라인,착불배송,108.0,830(W) x 500(D) x 1255(H) mm,NULL,PB + MDF + PVC,내추럴
30,48,184613,"룸앤홈 3단 6칸 데일리 책장, 내추럴",32610,1444591813,True,14,4.0,66.0,False,룸앤홈,0,65.0,NULL,NULL,NULL,NULL
31,50,184613,"가구느낌 철제 서랍장 3단, 블랙",44900,4504607819,False,0,3.5,12.0,False,가구느낌,0,13.0,NULL,NULL,NULL,NULL
32,51,184613,"마켓비 DOMINIK 캐비넷 1문 수납장 400840, 에그화이트",50260,193613191,False,4,4.0,376.0,False,마켓비,0,48.0,상세설명 참조,화이트,철제,NULL
33,52,184613,"가이온 마린 5단 1000 서랍장, 그레이화이트",99800,30525968,False,41,4.0,483.0,False,가이온,착불배송,81.0,1000X1225X490,그레이,합성목재,NULL
34,53,184613,"제이디퍼니처 로미 발통형 3단 서랍장, 백화이트",25650,24070998,True,6,4.0,565.0,False,제이디퍼니처,0,93.0,400 x 370 x 480 mm,화이트,합성목재,NULL
35,54,184613,"조은세상 3단 서랍장, 웬지백",25900,1945138031,True,0,4.0,36.0,False,,0,36.0,NULL,NULL,NULL,NULL
36,55,184613,"대도갤러리 클래시 하이그로시 1200 2단 서랍장, 화이트",59800,1305063500,False,29,4.5,45.0,False,대도갤러리,착불배송,43.0,NULL,NULL,NULL,NULL
37,56,184613,"유니크퍼니처 카멜(60cm)2자3단 서랍장, 오크",35900,12387187,False,5,4.0,78.0,False,,착불배송,34.0,585×400×630,NULL,"MDF,PB,PVC시트,철레일",NULL
38,59,184613,"잉글랜더 미스틱 6단 와이드 서랍장, 화이트",149000,1079662719,False,54,4.5,56.0,False,잉글랜더,착불배송,50.0,NULL,NULL,NULL,NULL
39,60,184613,"핸즈퍼니쳐 리치 4단 협탁, 오크화이트",30800,9646665,True,0,4.0,932.0,False,핸즈퍼니쳐,0,89.0,400 x 400 x 630mm,화이트,합성목재,NULL
40,62,184613,"바이올렛퍼니쳐 미니 다용도 서랍장 3단 600, 엘다",67900,2082313769,False,41,4.5,27.0,False,,착불배송,27.0,NULL,NULL,NULL,모던/심플
41,64,184613,"제우스가구 심플슬림오픈낮은서랍장, 매플 화이트",21100,2343064,True,3,4.0,267.0,False,,0,44.0,NULL,베이지,합성목재,NULL
42,65,184613,"이케아 HELMER이동식서랍유닛/서랍/사무용품보관/사무용서랍/이동식서랍/블랙/003.419.71/에이스디샵, 블랙",32000,235208747,False,0,4.0,218.0,False,,착불배송,49.0,28 x 43 x 69 cm,블랙,철제,NULL
43,67,184613,"또또가구 보보-서랍장(화이트그레이) 서랍장, 보보-양3단와이드서랍장",86700,317044773,False,26,4.5,21.0,False,,착불배송,21.0,NULL,NULL,NULL,NULL
44,68,184613,"침대 옆 코너 테이블 라탄 키높이 키큰 수납장 서랍장, 카키 길이 27 폭 27 높이 100",24160,1583313299,False,0,4.5,15.0,False,,0,15.0,NULL,NULL,NULL,NULL
45,69,184613,"각시방가구 그레이 쇼콜라 600 5단 서랍장, 메이플 그레이",59000,37879729,False,0,4.0,42.0,False,,착불배송,27.0,NULL,NULL,NULL,모던/심플
46,70,184613,"틈새 4단 서랍장, 혼합 색상",39800,1218318545,True,14,4.5,82.0,False,홈앤미,0,76.0,NULL,NULL,NULL,NULL
47,71,184613,"팀버스 속 깊은 러버 원목 800 광폭 5단 서랍장(원색), 원색",145900,286457692,False,0,4.5,36.0,False,,착불배송,33.0,NULL,NULL,NULL,NULL
48,72,184613,"보노 300 이동식 서랍통 YJ-P81, 화이트",56240,1928814543,True,0,3.0,33.0,False,,0,34.0,NULL,NULL,NULL,NULL
49,73,184613,"다우드 프리첼 2단 문짝 서랍장, 화이트메이플",49000,6782692,True,0,3.5,1493.0,False,핸즈퍼니쳐,0,255.0,600 x 400 x 750 mm,베이지,합성목재,NULL
50,74,184613,"파란들 속깊은 베스타800 5단 서랍장 ch, 화이트",75900,47368963,False,49,4.0,197.0,False,파란들,착불배송,67.0,NULL,NULL,NULL,모던/심플
51,75,184613,룸앤홈 데일리 조립식 서랍장 4단 M,38690,4647876225,True,0,5.0,10.0,False,룸앤홈,0,10.0,NULL,NULL,NULL,NULL
52,77,184613,"한샘 마카롱 철제 5단 서랍장, 미드나잇그레이",41900,1776378863,True,0,4.5,17.0,False,한샘,0,17.0,NULL,NULL,NULL,NULL
53,78,184613,"스칸디무드 울트라 1200 와이드 5단 옷 서랍장, 오크",159000,1367015517,False,57,4.0,33.0,False,,착불배송,30.0,NULL,NULL,NULL,NULL
54,80,184613,"제이디퍼니처 로미 2단 서랍장, 백화이트",17500,24070992,True,0,4.5,1020.0,False,제이디퍼니처,0,191.0,400 x 370 x 305 mm,화이트,합성목재,NULL
55,81,184613,"무료조립 이케아 PS 수납장 전국 무료조립 후 완제품배송 사은품 증정!, 레드 수도권착불30000원 지방착불40000원",59900,5118291743,False,0,5.0,22.0,False,이케아,착불배송,17.0,NULL,NULL,NULL,NULL
56,83,184613,"소티디자인 디프2 5단 속깊은 서랍장 600 광폭 수납장, 아이보리",92000,174668517,False,30,5.0,9.0,False,소티디자인,착불배송,8.0,W600 x D500 x H1240,화이트,NULL,NULL
57,84,184613,"해외 라탄 틈새 수납장 서랍장 화분 선반 3단 Msm0662, 카멜",17800,249351275,False,0,4.5,20.0,False,,0,19.0,NULL,NULL,NULL,NULL
58,85,184613,"마켓비 FIHA 서랍장 4.1단, 본상품선택",40900,13707021,False,2,4.0,648.0,False,마켓비,착불배송,217.0,28x41x68.5cm,화이트,철제,NULL
59,86,184613,"이정가구 카라 900 2단 서랍장, 화이트",68900,3621340,True,0,3.5,624.0,False,,0,57.0,90 x 40 x 40cm,화이트,합성목재,NULL
60,87,184613,"동서가구 올리브 화이트1200 와이드체스트 DF630221, 화이트",119000,187493555,False,29,4.0,343.0,False,동서가구,착불배송,126.0,NULL,NULL,NULL,로맨틱
61,90,184613,"동서가구 헤이즈 그레이 800 5단 서랍장, 그레이화이트",115000,41068399,False,38,4.0,62.0,False,동서가구,착불배송,17.0,NULL,NULL,NULL,모던/심플
62,91,184613,"비에스디자인 데일리 광폭 5단 800 서랍장, 오크화이트",79900,60965683,False,0,4.5,15.0,False,비에스디자인,착불배송,9.0,NULL,NULL,NULL,NULL
63,92,184613,"방친구 엘르 2자 5단 목재서랍장, 오크",49800,1402212,False,0,4.0,11.0,False,방친구,착불배송,8.0,NULL,NULL,NULL,NULL
64,94,184613,"티비트 3단 서랍장 600, 메이플화이트",51410,1824139647,True,4,2.5,18.0,False,,0,18.0,NULL,NULL,NULL,NULL
65,95,184613,"반석디자인 타임 400 5단 서랍장, 오크화이트",48900,129199440,False,0,4.5,26.0,False,,착불배송,22.0,NULL,NULL,NULL,NULL
66,96,184613,"샤바스 스칸디나 와이드 4단 8칸 서랍장 방문설치, 혼합색상",157410,4387877646,True,10,4.5,12.0,False,샤바스,0,12.0,NULL,NULL,NULL,NULL
67,97,184613,"반디 다용도 미니 수납 서랍장 2단, 워시",31400,4945582010,True,5,4.5,16.0,False,,0,16.0,385 x 230 x 355 mm,NULL,NULL,NULL
68,99,184613,"팬물산 린넨 더블 와이드 2단 서랍장, 브라운 + 베이지 + 아이보리",47900,9383537,True,57,4.0,177.0,False,팬물산,0,77.0,875 x 295 x 512 mm,멀티(혼합)컬러,합성목재,NULL
69,100,184613,"더준 라탄서랍장 서랍장, 브라운2단",34900,238024179,False,9,4.5,23.0,False,더준,0,17.0,NULL,NULL,NULL,내추럴
70,101,184613,"룸앤홈 데일리 조립식 서랍장 L 4단, 아이보리",54900,4647855508,True,0,4.5,22.0,False,룸앤홈,0,22.0,NULL,NULL,NULL,NULL
71,102,184613,"대도갤러리 해피트리 600 5단 서랍장, 화이트",54800,53470419,False,7,4.0,381.0,False,대도갤러리,착불배송,19.0,W600×H1200×D450,화이트,PB + MDF,모던/심플
72,103,184613,"제이디퍼니처 로미 발통형 4단 서랍장, 백화이트",28900,24070999,True,0,4.0,138.0,False,제이디퍼니처,0,64.0,400 x 370 x 625 mm,화이트,MDF + PB,NULL
73,105,184613,동서가구 해리7단1200 서랍장 DF902467,116900,24977637,False,41,4.0,61.0,False,동서가구,착불배송,31.0,NULL,NULL,NULL,내추럴
74,106,184613,"가이온 메리유 5단 1000 서랍장, 화이트",99800,168843510,False,41,4.0,22.0,False,가이온,착불배송,21.0,1000X1225X500,화이트,합성목재,NULL
75,107,184613,"동서가구 LV 800&1200 서랍장 총 5종, 3.1200 와이드체스트 902436-3",99000,5200376831,False,41,3.5,3.0,False,동서가구,착불배송,3.0,NULL,화이트,NULL,NULL
76,110,184613,"동서가구 데니스 800 5단 서랍장, 화이트",104000,54908702,False,38,4.0,83.0,False,동서가구,착불배송,60.0,NULL,NULL,NULL,내추럴
77,111,184613,"동서가구 데니스 600 5단 서랍장, 화이트",96000,54908743,False,39,4.5,82.0,False,동서가구,착불배송,53.0,NULL,NULL,NULL,내추럴
78,112,184613,"[엘르] 1200 3단(4지3단) 서랍장, 네추럴화이트",89800,22595829,False,0,4.5,9.0,False,엘르,착불배송,8.0,NULL,NULL,NULL,NULL
79,113,184613,"한샘 재크 철제 6단 서랍장(3종/택1), A형 : 화이트 (A)",35900,5269250222,False,30,5.0,4.0,False,한샘,0,4.0,NULL,NULL,NULL,NULL
80,114,184613,"동서가구 하임 1200 3단 와이드 서랍장, 화이트",119000,93530188,False,48,4.0,252.0,False,동서가구,착불배송,57.0,NULL,NULL,NULL,내추럴
81,115,184613,동서가구 화이트800 3단서랍장 DF902433,74900,24977635,False,41,4.0,25.0,False,동서가구,착불배송,8.0,NULL,NULL,NULL,로맨틱
82,116,184613,"미자크 화이트 3단와이드서랍장 체스트 옷서랍장 3단서랍장 1200, 화이트 3단와이드(화이트/빗살)",99900,4801429,False,0,4.0,299.0,False,,착불배송,80.0,120×46×76cm,화이트,PB + MDF,NULL
83,117,184613,"라자가구 위드 나오미 1200 와이드 서랍장 ir039, 오크",109000,1638515416,False,45,4.5,23.0,False,라자가구,착불배송,23.0,NULL,NULL,NULL,NULL
84,118,184613,"[착한가구] 셀리나 600 5단 서랍장, 화이트",72800,27753413,False,0,4.5,10.0,False,셀리나,착불배송,9.0,NULL,NULL,NULL,NULL
85,120,184613,"더준 라탄 서랍장 3단, 베이지",44900,4847568754,False,7,3.5,49.0,False,,0,31.0,NULL,NULL,NULL,NULL
86,121,184613,"홈앤미 포미 다용도 선반 서랍장 3단 3문, 혼합색상",55020,1379472997,True,23,4.5,94.0,False,홈앤미,0,88.0,NULL,NULL,NULL,NULL
87,122,184613,"다색원목 5단 수납장, 단색",67900,1930012982,True,0,4.0,4.0,False,,0,4.0,NULL,NULL,NULL,NULL
88,123,184613,"원스홈 코디 600 아일랜드 서랍장, 올화이트",119000,1190899489,False,20,4.5,22.0,False,,착불배송,19.0,NULL,NULL,NULL,모던/심플
89,124,184613,"마켓비 FIHA 6단 서랍장, 화이트",40900,4059943,False,0,4.0,1451.0,False,마켓비,착불배송,65.0,28 x 41 x 69 cm,화이트,철제,NULL
90,126,184613,"동서가구 라임 속 깊은 광폭 800 4단서랍장 DF642271, 화이트",129000,1593649280,False,43,4.5,21.0,False,동서가구,착불배송,20.0,NULL,NULL,NULL,NULL
91,128,184613,"다우드 프리첼 2단 오픈 서랍장, 화이트",41700,6782691,True,0,4.0,278.0,False,핸즈퍼니쳐,0,52.0,600 x 400 x 750 mm,화이트,합성목재,NULL
92,130,184613,"가온리빙 퓨어 880 서랍장, 워시",99000,2829829,False,0,4.5,222.0,False,가온리빙,착불배송,21.0,87.5x123.5x50cm,베이지,PB + MDF,NULL
93,131,184613,"노아가구 매립2단 서랍장, 화이트",27800,2320677,True,7,3.5,468.0,False,노아가구,0,54.0,60 x 40 x 43 cm,화이트,합성목재,NULL
94,132,184613,동서가구 EDF 해리 7단1200서랍장 DF628204,139000,456967,False,40,4.5,118.0,False,동서가구,0,35.0,1200 x 470 x 740 mm,화이트,합성목재,NULL
95,135,184613,"팀버애니스 모닝 1000 LPM 와이드서랍장, 화이트",78900,99515356,False,0,4.0,33.0,False,,착불배송,21.0,NULL,NULL,NULL,NULL
96,136,184613,"코끼리리빙 린넨 3단 서랍장, 그레이",30900,241297079,True,0,4.5,40.0,False,코끼리리빙,0,19.0,NULL,NULL,NULL,NULL
97,137,184613,NEW그루 고무나무 원목 내추럴 5단 서랍장,200000,4395271965,False,49,5.0,8.0,False,모던바로크,착불배송,8.0,NULL,NULL,NULL,북유럽
98,138,184613,"퍼니브라운 로이 5단 서랍장, 블루",133000,50243690,False,52,4.5,144.0,False,,착불배송,33.0,1000x525x1325,블루,합성목재,NULL
99,139,184613,"홈앤미 포미 다용도 선반 서랍장 2단 3문, 혼합색상",52000,1379473586,True,0,4.5,80.0,False,홈앤미,0,73.0,NULL,NULL,NULL,NULL
100,140,184613,"퍼니브라운 랩소디 5단 서랍장, 화이트",159000,137019060,False,60,4.5,17.0,False,,착불배송,10.0,800 x 515 x 1150,화이트,합성목재,NULL
101,141,184613,"블루밍홈 와이드 패브릭 2단 서랍장, 블랙 + 브라운",58900,121262500,False,0,4.0,247.0,False,블루밍홈,0,63.0,87.5 x 29.5 x 51.5 cm,브라운,패브릭,NULL
102,142,184613,"팀버스 속 깊은 러버 원목 400 5단 광폭서랍장(원색), 원색",105900,286457872,False,0,4.5,9.0,False,,착불배송,8.0,NULL,NULL,NULL,NULL
103,143,184613,"포메리트 타워형 틈새 CD장 9칸, 화이트",34780,308856392,True,41,3.5,125.0,False,포메리트,0,26.0,NULL,NULL,NULL,NULL
104,144,184613,"마켓비 OFFICY 서랍장 2.2단 5939.0551, 라이트그레이",42190,4796005019,False,3,5.0,2.0,False,마켓비,0,2.0,NULL,NULL,NULL,NULL
105,145,184613,"코끼리리빙 4단 와이드 패브릭 서랍장, 그레이",50550,270988228,True,4,5.0,21.0,False,코끼리리빙,0,21.0,30 x 63.5 x 73 cm,그레이,NULL,NULL
106,146,184613,"슬림 4단 서랍장, 혼합 색상",48800,1218318518,True,0,5.0,67.0,False,홈앤미,0,56.0,NULL,NULL,NULL,NULL
107,147,184613,"마켓비 철제 3단 5단 미니 사이드 수납장 서랍장, 4단(2.2) 다크그레이",41500,281224399,False,0,4.0,86.0,False,마켓비,0,57.0,NULL,컬러,철제,NULL
108,148,184613,"이정가구 카라 600 2단 서랍장, 화이트",46400,23983076,True,0,3.5,193.0,False,,0,9.0,60 x 40 x 40 cm,화이트,합성목재,NULL
109,149,184613,"제우스가구 택배 트랜드 슬림오픈낮은 서랍장, 투톤",28300,1781420,True,1,4.0,533.0,False,,0,58.0,400*400*545(mm),NULL,합성목재,NULL
110,150,184613,"아이리스 플라스틱 6단 서랍장 HG-556B, 화이트",90240,30386014,True,9,4.0,65.0,False,아이리스,0,26.0,56 x 41.5 x 120 cm,화이트,폴리프로필렌,NULL
111,152,184613,"소티디자인 디프 1200 속깊은 서랍장 광폭 수납장 와이드서랍장, 아이보리",116100,95735216,False,31,4.0,113.0,False,소티디자인,착불배송,38.0,W1200 x D500 x H759,화이트,합성목재,NULL
112,153,184613,아씨방 아씨방가구 스마트 5단 서랍장 60cm,64900,4937892554,False,7,4.0,215.0,False,아씨방,착불배송,119.0,NULL,NULL,NULL,NULL
113,155,184613,"공감스토어 좁은 공간 틈새 이동식 수납장 10cm 12.5cm 17cm 서랍장, 10cm 4단",23900,1763492404,False,0,4.5,12.0,False,,"3,000",12.0,NULL,NULL,NULL,NULL
114,157,184613,"팬물산 오동나무 4단 서랍장, 베이지",59900,237732553,True,44,3.5,121.0,False,팬물산,0,56.0,NULL,NULL,NULL,NULL
115,158,184613,"리더스가구 400 4단 서랍장, 월낫화이트",41740,14681958,True,3,4.0,152.0,False,,0,37.0,NULL,브라운,합성목재,NULL
116,159,184613,아씨방 스마트 5단+3단와이드 서랍장 180cm,149900,332190514,False,11,4.0,41.0,False,아씨방,착불배송,24.0,NULL,NULL,NULL,NULL
117,160,184613,"라동 라탄 5단 수납장, 엔틱",67900,1674740017,True,0,5.0,7.0,False,,0,7.0,NULL,NULL,NULL,NULL
118,162,184613,"대도갤러리 클래시 하이그로시 800 5단 서랍장, 화이트",69800,1305071388,False,33,3.0,12.0,False,대도갤러리,착불배송,10.0,NULL,NULL,NULL,NULL
119,164,184613,리바트 모뜨 5단 서랍장,206280,40559112,False,42,5.0,4.0,False,리바트,0,1.0,NULL,NULL,NULL,NULL
120,165,184613,"솔로리빙 기획광폭 800 5단 서랍장 안방 드레스룸 옷 속옷 정리 수납장 수납서랍장 서랍정리 옷정리 광폭서랍장 침실서랍 옷수납 옷정리, 화이트",107900,1959300865,False,9,4.5,2.0,False,솔로리빙,착불배송,2.0,NULL,NULL,NULL,NULL
121,168,184613,"달리빙앤 셀레나 3단 서랍장 B타입, 멀바우",72900,147689563,False,0,4.5,14.0,False,,착불배송,11.0,NULL,NULL,NULL,NULL
122,169,184613,"이정가구 레오600 3단 서랍장, 화이트",46160,102378827,True,1,2.5,100.0,False,,0,32.0,600 x 380 x 400 mm,화이트,합성목재,NULL
123,170,184613,"가이온 티크 1200 와이드 서랍장, 네이비",188000,179025075,False,45,4.5,39.0,False,가이온,착불배송,30.0,1200x480x800,네이비,합성목재,NULL
124,171,184613,"동서가구 스토르 속 깊은 광폭 600 5단서랍장 DF641119, 화이트",89900,1274682434,False,35,4.0,26.0,False,동서가구,착불배송,25.0,NULL,NULL,NULL,NULL
125,172,184613,"마켓비 FIHA 서랍장 2.2단, 화이트",43000,23999328,False,4,4.0,369.0,False,마켓비,착불배송,76.0,서랍장(28 x 41 x 68.5 cm),화이트,철제,NULL
126,174,184613,"노아가구 모립 3단 서랍장, 화이트",40480,57620309,True,5,2.5,85.0,False,노아가구,0,22.0,60 x 40 x 62 cm,화이트,합성목재,NULL
127,176,184613,"홈앤미 2단 5문 서랍장 티비대, 혼합 색상",64800,1218318563,True,0,4.5,52.0,False,홈앤미,0,47.0,NULL,NULL,NULL,NULL
128,177,184613,"파란들 브론즈 원목 콤비 5단 800 서랍장, 오크_원목",119000,4790805621,False,50,3.0,1.0,False,파란들,착불배송,1.0,NULL,NULL,NULL,NULL
129,178,184613,"유니크퍼니처 네온(73CM) 2.5자2단 서랍장, 매플화이트",37900,92359688,False,0,4.0,14.0,False,,착불배송,9.0,72.5*40*46,멀티(혼합)컬러,"MDF,PB,PVC시트,철레일",NULL
130,179,184613,"10cm 좁은 공간 울트라 슬림 틈새 이동식 수납장 서랍장 공간 절약 선반 국내 배송, 10cm 4단",20900,4703284089,False,0,4.5,2.0,False,,0,1.0,NULL,NULL,NULL,모던/심플
131,181,184613,"[보루네오 하우스] 아르메 모던 1200 빅와이드 3단 서랍장, 내추럴",119000,1371053419,False,49,4.0,8.0,False,보루네오,착불배송,8.0,NULL,NULL,NULL,NULL
132,182,184613,"홈앤미 포미 다용도 3단 6문, 혼합색상",79000,5272827248,True,0,5.0,1.0,False,홈앤미,0,1.0,79.5 x 29.8 x 97 cm,NULL,NULL,NULL
133,183,184613,"라자가구 오브 센스 800 5단 서랍장 fo9871, 오크",109000,131406461,False,56,4.0,52.0,False,라자가구,0,17.0,NULL,브라운,MDF,내추럴
134,185,184613,"조은세상 이동식 서랍장, 월넛",55900,1683502055,False,6,2.0,17.0,False,조은세상,0,15.0,NULL,NULL,NULL,NULL
135,186,184613,"엔젤퍼니 엔젤 LPM SW 2단 3단 서랍장, 05_2단 1500 서랍장_화이트",109000,1469969396,False,16,4.5,12.0,False,엔젤퍼니,착불배송,12.0,NULL,NULL,NULL,NULL
136,187,184613,"코끼리리빙 린넨 2단 서랍장, 그레이",22290,241297077,True,3,4.5,23.0,False,코끼리리빙,0,11.0,NULL,NULL,NULL,NULL
137,188,184613,"모카 속깊은 3단 서랍장 800, 모카 2단 800 서랍장, 멀바우",63900,4610821564,False,50,,,False,벨리카가구,착불배송,,NULL,NULL,NULL,NULL
138,190,184613,"보노하우스 모던플러스 내추럴오크 우드상판형 4단 서랍장, 혼합색상",53320,5201967671,True,7,4.0,1.0,False,보노하우스,0,1.0,NULL,NULL,NULL,NULL
139,191,184613,"핸즈퍼니쳐 리치 높은 4단 협탁, 오크화이트",36500,9646670,True,0,4.0,113.0,False,핸즈퍼니쳐,0,52.0,400 x 400 x 670 mm,화이트,합성목재,NULL
140,193,184613,데코라인 데니 800 5단 서랍장 메이플,109000,104778707,False,58,4.0,26.0,False,데코라인,착불배송,1.0,80*50*125.5,NULL,합성목재,NULL
141,195,184613,"마켓B 바퀴달린 이동식 틈새 3단 4단 5단 6단 수납장 서랍장, 5단 화이트",42500,1160642225,False,0,3.5,22.0,False,,0,19.0,NULL,컬러,철제,모던/심플
142,196,184613,"아이리스 시스템 서랍형 스탁 수납장 STB-400H 40cm, 오프화이트",21790,6047355,True,15,4.0,301.0,False,아이리스,0,30.0,40 x 28.7 x 30.5 cm,화이트,합성목재,NULL
143,197,184613,"엠블라 400 3단 서랍장 원룸 소품 수납 수납장, 투톤",59000,1252108544,False,16,4.0,7.0,False,엠블라,착불배송,5.0,NULL,멀티(혼합)컬러,NULL,북유럽
144,200,184613,"파란들 레이첼 800 5단 서랍장, 레이첼800 5단 n_화이트",84900,48113516,False,34,4.0,641.0,False,파란들,착불배송,77.0,800x470x1180,화이트,합성목재,NULL
145,202,184613,"사무실 책상 3단 이동 서랍장 수납장, 블랙",55000,4771723151,False,0,4.5,2.0,False,,0,2.0,NULL,NULL,NULL,NULL
146,203,184613,"솔로리빙 알렉스 800 5단 서랍장 안방 드레스룸 옷 속옷 정리 수납장 수납서랍장 서랍정리 옷정리 광폭서랍장 침실서랍 옷수납 옷정리, 멀바우그레이",137800,4882698357,False,0,3.5,4.0,False,솔로리빙,착불배송,4.0,NULL,NULL,NULL,NULL
147,204,184613,"제우스가구 택배 심플 600 낮은 서랍장, 화이트",27430,2343073,True,4,3.0,135.0,False,,0,32.0,600*400*415(mm),화이트,합성목재,NULL
148,205,184613,"각시방가구 쇼콜라 엣지 800 3단 서랍장, 메이플화이트",60900,1418635616,False,0,4.5,7.0,False,,착불배송,7.0,NULL,NULL,NULL,NULL
